TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,2.8267
2,300,nan,nan,nan,nan,2.8406
2,300,nan,nan,nan,nan,2.8544
2,300,nan,nan,nan,nan,2.8683
2,300,nan,nan,nan,nan,2.8821
2,300,nan,nan,nan,nan,2.896
2,300,nan,nan,nan,nan,2.9098
2,300,nan,nan,nan,nan,2.9237
2,300,nan,nan,nan,nan,2.9376
2,300,nan,nan,nan,nan,2.9514
2,300,nan,nan,nan,nan,2.9653
2,300,nan,nan,nan,nan,2.9791
2,300,nan,nan,nan,nan,2.993
2,300,nan,nan,nan,nan,3.0068
2,300,nan,nan,nan,nan,3.0207
2,300,nan,nan,nan,nan,3.0346
2,300,nan,nan,nan,nan,3.0484
2,300,nan,nan,nan,nan,3.0623
2,300,nan,nan,nan,nan,3.0761
2,300,nan,nan,nan,nan,3.09
2,300,nan,nan,nan,nan,3.1038
2,300,nan,nan,nan,nan,3.1177
2,300,nan,nan,nan,nan,3.1315
2,300,nan,nan,nan,nan,3.1454
2,300,nan,nan,nan,nan,3.1593
2,300,nan,nan,nan,nan,3.1731
2,300,nan,nan,nan,nan,3.187
2,300,nan,nan,nan,nan,3.2008
2,300,nan,nan,nan,nan,3.2147
2,300,nan,nan,nan,nan,3.2285
2,300,nan,nan,nan,nan,3.2424
2,300,nan,nan,nan,nan,3.2563
2,300,nan,nan,nan,nan,3.2701
2,300,nan,nan,nan,nan,3.284
2,300,nan,nan,nan,nan,3.2978
2,300,nan,nan,nan,nan,3.3117
2,300,nan,nan,nan,nan,3.3255
2,300,nan,nan,nan,nan,3.3394
2,300,nan,nan,nan,nan,3.3533
2,300,nan,nan,nan,nan,3.3671
2,300,nan,nan,nan,nan,3.381
2,300,nan,nan,nan,nan,3.3948
2,300,nan,nan,nan,nan,3.4087
2,300,nan,nan,nan,nan,3.4225
2,300,nan,nan,nan,nan,3.4364
2,300,nan,nan,nan,nan,3.4502
2,300,nan,nan,nan,nan,3.4641
2,300,nan,nan,nan,nan,3.478
2,300,nan,nan,nan,nan,3.4918
2,300,nan,nan,nan,nan,3.5057
2,300,nan,nan,nan,nan,3.5195
2,300,nan,nan,nan,nan,3.5334
2,300,nan,nan,nan,nan,3.5472
2,300,nan,nan,nan,nan,3.5611
2,300,nan,nan,nan,nan,3.575
2,300,nan,nan,nan,nan,3.5888
2,300,nan,nan,nan,nan,3.6027
2,300,nan,nan,nan,nan,3.6165
2,300,nan,nan,nan,nan,3.6304
2,300,nan,nan,nan,nan,3.6442
2,300,nan,nan,nan,nan,3.6581
2,300,nan,nan,nan,nan,3.6719
2,300,nan,nan,nan,nan,3.6858
2,300,nan,nan,nan,nan,3.6997
2,300,nan,nan,nan,nan,3.7135
2,300,nan,nan,nan,nan,3.7274
2,300,nan,nan,nan,nan,3.7412
2,300,nan,nan,nan,nan,3.7551
2,300,nan,nan,nan,nan,3.7689
2,300,nan,nan,nan,nan,3.7828
2,300,nan,nan,nan,nan,3.7967
2,300,nan,nan,nan,nan,3.8105
2,300,nan,nan,nan,nan,3.8244
2,300,nan,nan,nan,nan,3.8382
2,300,nan,nan,nan,nan,3.8521
2,300,nan,nan,nan,nan,3.8659
2,300,nan,nan,nan,nan,3.8798
2,300,nan,nan,nan,nan,3.8937
2,300,nan,nan,nan,nan,3.9075
2,300,nan,nan,nan,nan,3.9214
2,300,nan,nan,nan,nan,3.9352
2,300,nan,nan,nan,nan,3.9491
2,300,nan,nan,nan,nan,3.9629
2,300,nan,nan,nan,nan,3.9768
2,300,nan,nan,nan,nan,3.9906
2,300,nan,nan,nan,nan,4.0045
2,300,nan,nan,nan,nan,4.0184
2,300,nan,nan,nan,nan,4.0322
2,300,nan,nan,nan,nan,4.0461
2,300,nan,nan,nan,nan,4.0599
2,300,nan,nan,nan,nan,4.0738
2,300,nan,nan,nan,nan,4.0876
2,300,nan,nan,nan,nan,4.1015
2,300,nan,nan,nan,nan,4.1154
2,300,nan,nan,nan,nan,4.1292
2,300,nan,nan,nan,nan,4.1431
2,300,nan,nan,nan,nan,4.1569
2,300,nan,nan,nan,nan,4.1708
2,300,nan,nan,nan,nan,4.1846
2,300,nan,nan,nan,nan,4.1985
2,300,nan,nan,nan,nan,4.2123
2,300,nan,nan,nan,nan,4.2262
2,300,nan,nan,nan,nan,4.2401
